evaluation	mode	p0	p1	delta	energy
128	REFLECTING	1.000000016	1.000000031	3.58701013e-06	3.56e-16
129	REFLECTING	1.000000048	1.000000093	3.58701013e-06	3.204e-15
130	CONTRACTING	0.9999999993	0.9999999997	2.121280944e-06	1.2049e-16
131	REFLECTING	0.9999999983	0.9999999997	2.121280944e-06	9.6289e-16
132	CONTRACTING	1.000000012	1.000000023	1.833051451e-06	2.44e-16
133	REFLECTING	0.9999999963	0.9999999917	1.833051451e-06	9.469e-17
134	EXPANDING	0.999999987	0.999999972	1.344862869e-06	5.69e-16
135	REFLECTING	0.9999999836	0.9999999684	1.344862869e-06	4.1196e-16
136	CONTRACTING	1.000000005	1.000000009	2.730079393e-07	1.25e-16
137	REFLECTING	0.9999999906	0.9999999824	2.730079393e-07	2.3136e-16
138	CONTRACTING	1.000000001	1.000000002	1.07626965e-06	1e-18
139	REFLECTING	0.999999998	0.999999994	1.07626965e-06	4.04e-16
140	CONTRACTING	0.999999999	0.9999999983	8.438841345e-07	9e-18
